Manufacturer Part Number,Qty,Original,Description,Purchase link
Main PCB,1,y,Main PCB,Produced by Elecrow.
TPS563201.,1,y,"Buck Converter (Step-Down) WeAct Studio. Input: 5-36V, Output: 3.3V/2A",https://www.aliexpress.com/item/1005009680381342.html
Raspberry Pi Zero W,1,y,Raspberry Pi Zero W,https://www.alibaba.com/product-detail/Ras-Pberry-Pi-zero-W-Development_1601238061099.html?spm=a2700.galleryofferlist.normal_offer.d_image.7df513a0etvRQR&selectedCarrierCode=SEMI_MANAGED_STANDARD@@STANDARD
WS2812B (or SK6812) 5050,30,n,"SMD RGB LED WS2812B (or SK6812) 5050 package. IC built-in, 4-pin.",https://www.alibaba.com/product-detail/Promotion-Wholesale-IC-Buit-in-4pin_60610111946.html
Module-F55,1,y,USB-C Breakout Board,https://www.alibaba.com/product-detail/YIXINTAI-USB-TYPE-C-conversion-board_1601234419325.html
Hookup Wire,5,n,"~12cm each. 28 AWG stranded wire is recommended for flexibility. Colors: Recommended (Red: 5V, Black: GND, other colors for data).",Elecrow to source.
Screw (M3 x 12mm) ,4,n,"Phillips, flat head. For securing the PCB assembly to the case.",Elecrow to source.
Heated Insert (M3),4,n, Brass inserts to be melted into the 3D printed case for the M3 screws.,Elecrow to source.
Screw (M1.7),4,n,"Phillips, flat head. For mounting the Raspberry Pi Zero.",Elecrow to source.
Screw (M2.5),6,n,"Phillips, flat head. (Likely for the buck converter or other components).",Elecrow to source.
Screw (M2),2,n,"Phillips, flat head. (Likely for the USB-C breakout).",Elecrow to source.
Diffusion Paper / Screen,1,n,"A5 size (210 x 148 mm), ~120 GSM weight.",https://www.alibaba.com/product-detail/Wholesale-120-g-350-g-C1S_1601258869224.html
microSD Card,1,n,"16GB+, Class 10. Major Brand Recommended (SanDisk, Samsung, Kingston).",Elecrow source. Do not source from random marketplaces due to high failure rate risk. Buy from a reputable electronics or computer store.
3D Printed Stencil Cut out,1,n,Print Settings: 0.2mm layers.,Produced by Elecrow as part of the PCB/Assembly order.
3D Printed Back Case,1,y,"Print Settings: 0.2mm layers, Fuzzy Skin (Point Dist: 0.1mm, Thickness: 0.1mm on all walls).",Produced by Elecrow as part of the PCB/Assembly order.
3D Printed Front Face,1,y,"Print Settings: 0.2mm layers, Fuzzy Skin, Enable Ironing for a smooth top surface.",Produced by Elecrow as part of the PCB/Assembly order.
